x,y,label
35,552,key
35,754,key
35,691,key
35,640,key
35,476,key
35,565,key
35,489,key
35,704,key
35,577,key
35,653,key
35,501,key
35,716,key
35,590,key
35,514,key
35,602,key
35,666,key
35,729,key
35,527,key
35,615,key
35,742,key
35,628,key
35,678,key
221,476,key
103,539,key
91,628,key
111,628,key
227,641,key
66,666,key
66,653,key
51,691,key
74,704,key
74,716,key
71,729,key
93,742,key
221,628,nonkey
221,552,nonkey
221,755,nonkey
221,641,nonkey
221,691,nonkey
221,565,nonkey
221,489,nonkey
221,704,nonkey
221,577,nonkey
221,501,nonkey
221,590,nonkey
221,653,nonkey
221,716,nonkey
221,514,nonkey
221,603,nonkey
221,527,nonkey
221,666,nonkey
221,729,nonkey
221,615,nonkey
221,540,nonkey
221,742,nonkey
221,679,nonkey
250,489,nonkey
262,489,nonkey
295,489,nonkey
243,679,nonkey
243,552,nonkey
243,755,nonkey
243,691,nonkey
243,641,nonkey
243,565,nonkey
243,704,nonkey
243,577,nonkey
243,653,nonkey
243,716,nonkey
243,514,nonkey
243,603,nonkey
243,527,nonkey
243,729,nonkey
243,615,nonkey
243,540,nonkey
243,742,nonkey
267,679,nonkey
267,552,nonkey
267,755,nonkey
267,691,nonkey
267,565,nonkey
267,704,nonkey
267,577,nonkey
267,653,nonkey
267,716,nonkey
267,514,nonkey
267,603,nonkey
267,527,nonkey
267,729,nonkey
267,615,nonkey
267,540,nonkey
267,742,nonkey
35,539,nonkey
232,590,nonkey
241,628,nonkey
252,641,nonkey
263,641,nonkey
275,641,nonkey
113,653,nonkey
126,653,nonkey
137,653,nonkey
248,666,nonkey
270,666,nonkey
279,666,nonkey
290,666,nonkey
